compound_id,true_target,target_type,rank,n_candidates,reciprocal_rank,hit_at_1,hit_at_5,hit_at_10
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,Symptom,1901.0,1923,0.0005260389268805891,0,0,0
COMPOUND_ac63052cee8e,SYMPTOM_52b0760e3443,Symptom,12.0,1923,0.08333333333333333,0,0,0
COMPOUND_dac1a6903e58,SYMPTOM_8c8e9a9a5f8a,Symptom,23.0,1921,0.043478260869565216,0,0,0
COMPOUND_dac1a6903e58,SYMPTOM_a12879b9590a,Symptom,58.0,1921,0.017241379310344827,0,0,0
COMPOUND_dac1a6903e58,SYMPTOM_ac4ac57a7b7f,Symptom,26.0,1921,0.038461538461538464,0,0,0
COMPOUND_dac1a6903e58,SYMPTOM_0a61ad588557,Symptom,19.0,1921,0.05263157894736842,0,0,0
COMPOUND_5adc4b7903fe,SYMPTOM_49ad1743fb5b,Symptom,595.0,1923,0.0016806722689075631,0,0,0
COMPOUND_5adc4b7903fe,SYMPTOM_52b0760e3443,Symptom,12.0,1923,0.08333333333333333,0,0,0
COMPOUND_8951771cfa60,SYMPTOM_8c8e9a9a5f8a,Symptom,23.0,1921,0.043478260869565216,0,0,0
COMPOUND_8951771cfa60,SYMPTOM_a12879b9590a,Symptom,63.0,1921,0.015873015873015872,0,0,0
COMPOUND_8951771cfa60,SYMPTOM_0a61ad588557,Symptom,18.0,1921,0.05555555555555555,0,0,0
COMPOUND_8951771cfa60,SYMPTOM_ac4ac57a7b7f,Symptom,23.0,1921,0.043478260869565216,0,0,0
COMPOUND_3bcd8ad0daaf,SYMPTOM_15564a4455ce,Symptom,37.0,1924,0.02702702702702703,0,0,0
COMPOUND_87ee03e63f60,DISEASE_e7a747ffb620,Disease,10.0,59,0.1,0,0,1
COMPOUND_e14a6138b047,SYMPTOM_c3332f5bc908,Symptom,48.0,1924,0.020833333333333332,0,0,0
COMPOUND_d85ccf8aca8c,SYMPTOM_5b86f80f6a2d,Symptom,1892.0,1924,0.0005285412262156448,0,0,0
COMPOUND_71c41f10aca6,SYMPTOM_13a284b618f2,Symptom,16.0,1918,0.0625,0,0,0
COMPOUND_71c41f10aca6,SYMPTOM_c0004a138aff,Symptom,1884.0,1918,0.0005307855626326964,0,0,0
COMPOUND_71c41f10aca6,SYMPTOM_947c70271d24,Symptom,18.0,1918,0.05555555555555555,0,0,0
COMPOUND_71c41f10aca6,SYMPTOM_078750ea56f7,Symptom,25.0,1918,0.04,0,0,0
COMPOUND_71c41f10aca6,SYMPTOM_b2d0d3f599e0,Symptom,972.0,1918,0.00102880658436214,0,0,0
COMPOUND_71c41f10aca6,SYMPTOM_4d26ce2697b7,Symptom,2.0,1918,0.5,0,1,1
COMPOUND_71c41f10aca6,SYMPTOM_19919db973fd,Symptom,10.0,1918,0.1,0,0,1
COMPOUND_a0901a576890,DISEASE_071459a0c2fd,Disease,13.0,59,0.07692307692307693,0,0,0
COMPOUND_cf8b8ee8302a,SYMPTOM_64c8aca0d1b5,Symptom,21.0,1923,0.047619047619047616,0,0,0
COMPOUND_cf8b8ee8302a,SYMPTOM_9a9214077697,Symptom,7.0,1923,0.14285714285714285,0,0,1
COMPOUND_073fa3a6a71f,DISEASE_578708c54b66,Disease,5.0,59,0.2,0,1,1
COMPOUND_073fa3a6a71f,SYMPTOM_b55c78026bc0,Symptom,1893.0,1924,0.0005282620179609086,0,0,0
COMPOUND_2c62f79ad8da,DISEASE_071459a0c2fd,Disease,13.0,59,0.07692307692307693,0,0,0
COMPOUND_2c62f79ad8da,SYMPTOM_9f370bfc6ac7,Symptom,1891.0,1921,0.0005288207297726071,0,0,0
COMPOUND_2c62f79ad8da,SYMPTOM_b6818ea6bea5,Symptom,1813.0,1921,0.0005515719801434088,0,0,0
COMPOUND_2c62f79ad8da,SYMPTOM_e398892d7620,Symptom,38.0,1921,0.02631578947368421,0,0,0
COMPOUND_2c62f79ad8da,SYMPTOM_ac4ac57a7b7f,Symptom,26.0,1921,0.038461538461538464,0,0,0
COMPOUND_1dd467f7f991,SYMPTOM_45bf1f080442,Symptom,66.0,1924,0.015151515151515152,0,0,0
COMPOUND_d4cfc4097a8c,DISEASE_d60c11b4f6b2,Disease,8.0,59,0.125,0,0,1
COMPOUND_d4cfc4097a8c,SYMPTOM_a317a04d6ea5,Symptom,62.0,1924,0.016129032258064516,0,0,0
COMPOUND_3830239d12ca,SYMPTOM_ac6155f9b05b,Symptom,32.0,1923,0.03125,0,0,0
COMPOUND_3830239d12ca,SYMPTOM_7c9145c4a20c,Symptom,7.0,1923,0.14285714285714285,0,0,1
