compound_id,true_target,target_type,rank,n_candidates,reciprocal_rank,hit_at_1,hit_at_5,hit_at_10
COMPOUND_806ebd096539,DISEASE_b2a66b919818,Disease,4.0,59,0.25,0,1,1
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,Symptom,48.0,1924,0.020833333333333332,0,0,0
COMPOUND_3d95df452764,DISEASE_e2f37d4a7296,Disease,13.0,59,0.07692307692307693,0,0,0
COMPOUND_3d95df452764,SYMPTOM_15564a4455ce,Symptom,47.0,1924,0.02127659574468085,0,0,0
COMPOUND_a3040ad64318,SYMPTOM_de00827d7e8e,Symptom,5.0,1917,0.2,0,1,1
COMPOUND_a3040ad64318,SYMPTOM_9a9214077697,Symptom,10.0,1917,0.1,0,0,1
COMPOUND_a3040ad64318,SYMPTOM_b4b1fb71c52c,Symptom,306.0,1917,0.0032679738562091504,0,0,0
COMPOUND_a3040ad64318,SYMPTOM_99158dd7f146,Symptom,66.0,1917,0.015151515151515152,0,0,0
COMPOUND_a3040ad64318,SYMPTOM_b0a86039f54f,Symptom,1155.0,1917,0.0008658008658008658,0,0,0
COMPOUND_a3040ad64318,SYMPTOM_0a61ad588557,Symptom,2.0,1917,0.5,0,1,1
COMPOUND_a3040ad64318,SYMPTOM_bc0ee6c26fe4,Symptom,657.0,1917,0.0015220700152207,0,0,0
COMPOUND_a3040ad64318,SYMPTOM_2e5db521735e,Symptom,723.0,1917,0.0013831258644536654,0,0,0
COMPOUND_e75db4b47277,SYMPTOM_154b2e2e5974,Symptom,67.0,1923,0.014925373134328358,0,0,0
COMPOUND_e75db4b47277,SYMPTOM_bff77d569de2,Symptom,47.0,1923,0.02127659574468085,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_a0482f3f8c7b,Symptom,1593.0,1907,0.0006277463904582549,0,0,0
COMPOUND_56237a7cf874,DISEASE_e7a747ffb620,Disease,12.0,59,0.08333333333333333,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_9a9214077697,Symptom,17.0,1907,0.058823529411764705,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_8c8e9a9a5f8a,Symptom,47.0,1907,0.02127659574468085,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_45bf1f080442,Symptom,48.0,1907,0.020833333333333332,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_9d97728be9d1,Symptom,534.0,1907,0.0018726591760299626,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_262d000bb6a3,Symptom,620.0,1907,0.0016129032258064516,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_f8703b74a201,Symptom,55.0,1907,0.01818181818181818,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_a317a04d6ea5,Symptom,15.0,1907,0.06666666666666667,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_603d8414fc2a,Symptom,54.0,1907,0.018518518518518517,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_daa909de830a,Symptom,487.0,1907,0.002053388090349076,0,0,0
COMPOUND_56237a7cf874,SYMPTOM_10d012baa5e9,Symptom,860.0,1907,0.0011627906976744186,0,0,0
