compound_id,true_target,target_type,rank,n_candidates,reciprocal_rank,hit_at_1,hit_at_5,hit_at_10
COMPOUND_dca0e66d520e,SYMPTOM_de00827d7e8e,Symptom,11.0,1924,0.09090909090909091,0,0,0
COMPOUND_dca0e66d520e,DISEASE_42f9fa377b98,Disease,15.0,59,0.06666666666666667,0,0,0
COMPOUND_642328155fbf,SYMPTOM_64c8aca0d1b5,Symptom,37.0,1923,0.02702702702702703,0,0,0
COMPOUND_642328155fbf,SYMPTOM_15564a4455ce,Symptom,42.0,1923,0.023809523809523808,0,0,0
COMPOUND_66c81a6de0b7,DISEASE_e2f37d4a7296,Disease,10.0,59,0.1,0,0,1
COMPOUND_66c81a6de0b7,SYMPTOM_15564a4455ce,Symptom,42.0,1924,0.023809523809523808,0,0,0
COMPOUND_899cf06b47e4,SYMPTOM_9a9214077697,Symptom,13.0,1923,0.07692307692307693,0,0,0
COMPOUND_899cf06b47e4,SYMPTOM_64c8aca0d1b5,Symptom,35.0,1923,0.02857142857142857,0,0,0
COMPOUND_ebc3153baaef,SYMPTOM_b6122bfe4b97,Symptom,1846.0,1924,0.0005417118093174431,0,0,0
COMPOUND_74f13c20a26f,DISEASE_578708c54b66,Disease,4.0,59,0.25,0,1,1
COMPOUND_fec3fa141c31,DISEASE_d60c11b4f6b2,Disease,5.0,59,0.2,0,1,1
COMPOUND_fec3fa141c31,SYMPTOM_435ca3873d41,Symptom,1807.0,1921,0.0005534034311012728,0,0,0
COMPOUND_fec3fa141c31,SYMPTOM_a317a04d6ea5,Symptom,75.0,1921,0.013333333333333334,0,0,0
COMPOUND_fec3fa141c31,SYMPTOM_7bbc967d0472,Symptom,1793.0,1921,0.0005577244841048522,0,0,0
COMPOUND_fec3fa141c31,SYMPTOM_6100966d0a2c,Symptom,18.0,1921,0.05555555555555555,0,0,0
COMPOUND_d8438fe1dea5,DISEASE_578708c54b66,Disease,4.0,54,0.25,0,1,1
COMPOUND_d8438fe1dea5,DISEASE_5e294e090c89,Disease,2.0,54,0.5,0,1,1
COMPOUND_d8438fe1dea5,SYMPTOM_ac7049227bb3,Symptom,43.0,1915,0.023255813953488372,0,0,0
COMPOUND_d8438fe1dea5,DISEASE_e7a747ffb620,Disease,4.0,54,0.25,0,1,1
COMPOUND_d8438fe1dea5,SYMPTOM_154b2e2e5974,Symptom,21.0,1915,0.047619047619047616,0,0,0
COMPOUND_d8438fe1dea5,DISEASE_9fee7a39f2e6,Disease,7.0,54,0.14285714285714285,0,0,1
COMPOUND_d8438fe1dea5,SYMPTOM_078750ea56f7,Symptom,30.0,1915,0.03333333333333333,0,0,0
COMPOUND_d8438fe1dea5,DISEASE_5cbc093559fd,Disease,15.0,54,0.06666666666666667,0,0,0
COMPOUND_d8438fe1dea5,SYMPTOM_e398892d7620,Symptom,22.0,1915,0.045454545454545456,0,0,0
COMPOUND_d8438fe1dea5,SYMPTOM_f4dfb786c878,Symptom,1714.0,1915,0.0005834305717619603,0,0,0
COMPOUND_d8438fe1dea5,SYMPTOM_bff77d569de2,Symptom,24.0,1915,0.041666666666666664,0,0,0
COMPOUND_d8438fe1dea5,SYMPTOM_603d8414fc2a,Symptom,53.0,1915,0.018867924528301886,0,0,0
COMPOUND_d8438fe1dea5,DISEASE_3e090ec6a1d8,Disease,44.0,54,0.022727272727272728,0,0,0
COMPOUND_d8438fe1dea5,SYMPTOM_c3332f5bc908,Symptom,47.0,1915,0.02127659574468085,0,0,0
COMPOUND_d8438fe1dea5,SYMPTOM_8be6245de13d,Symptom,43.0,1915,0.023255813953488372,0,0,0
COMPOUND_d8438fe1dea5,SYMPTOM_15564a4455ce,Symptom,38.0,1915,0.02631578947368421,0,0,0
COMPOUND_87dc236a64a3,SYMPTOM_685c0772c819,Symptom,61.0,1922,0.01639344262295082,0,0,0
COMPOUND_87dc236a64a3,SYMPTOM_ac4ac57a7b7f,Symptom,30.0,1922,0.03333333333333333,0,0,0
COMPOUND_87dc236a64a3,SYMPTOM_0a61ad588557,Symptom,7.0,1922,0.14285714285714285,0,0,1
COMPOUND_e87ce6b3a27b,SYMPTOM_bac6c1b98325,Symptom,1876.0,1921,0.0005330490405117271,0,0,0
COMPOUND_e87ce6b3a27b,SYMPTOM_9a9214077697,Symptom,15.0,1921,0.06666666666666667,0,0,0
COMPOUND_e87ce6b3a27b,DISEASE_b2a66b919818,Disease,2.0,59,0.5,0,1,1
COMPOUND_e87ce6b3a27b,SYMPTOM_64c8aca0d1b5,Symptom,35.0,1921,0.02857142857142857,0,0,0
COMPOUND_e87ce6b3a27b,SYMPTOM_52b0760e3443,Symptom,10.0,1921,0.1,0,0,1
COMPOUND_6d9123c8993a,SYMPTOM_078750ea56f7,Symptom,25.0,1923,0.04,0,0,0
COMPOUND_6d9123c8993a,SYMPTOM_ac4ac57a7b7f,Symptom,25.0,1923,0.04,0,0,0
COMPOUND_9004ce399c2a,SYMPTOM_7c9145c4a20c,Symptom,2.0,1924,0.5,0,1,1
COMPOUND_7bf90cf99e50,SYMPTOM_e4d3338c3946,Symptom,1811.0,1924,0.0005521811154058532,0,0,0
COMPOUND_15b3a54a521d,SYMPTOM_13a284b618f2,Symptom,21.0,1920,0.047619047619047616,0,0,0
COMPOUND_15b3a54a521d,SYMPTOM_685c0772c819,Symptom,48.0,1920,0.020833333333333332,0,0,0
COMPOUND_15b3a54a521d,SYMPTOM_76ce1b842ce5,Symptom,32.0,1920,0.03125,0,0,0
