compound_id,true_target,target_type,rank,n_candidates,reciprocal_rank,hit_at_1,hit_at_5,hit_at_10
COMPOUND_960b05ddaea9,DISEASE_578708c54b66,Disease,9.0,59,0.1111111111111111,0,0,1
COMPOUND_960b05ddaea9,SYMPTOM_b219d93f90d0,Symptom,28.0,1923,0.03571428571428571,0,0,0
COMPOUND_960b05ddaea9,SYMPTOM_aa118956afd8,Symptom,1143.0,1923,0.0008748906386701663,0,0,0
COMPOUND_3b9dcc40035b,SYMPTOM_ac7049227bb3,Symptom,29.0,1924,0.034482758620689655,0,0,0
COMPOUND_e2c55cf429c4,DISEASE_071459a0c2fd,Disease,28.0,59,0.03571428571428571,0,0,0
COMPOUND_e2c55cf429c4,SYMPTOM_6100966d0a2c,Symptom,6.0,1924,0.16666666666666666,0,0,1
COMPOUND_f76c522781a2,SYMPTOM_15564a4455ce,Symptom,36.0,1924,0.027777777777777776,0,0,0
COMPOUND_4532c1e7d544,SYMPTOM_99158dd7f146,Symptom,47.0,1924,0.02127659574468085,0,0,0
COMPOUND_bb49611aa259,SYMPTOM_9a9214077697,Symptom,25.0,1920,0.04,0,0,0
COMPOUND_bb49611aa259,SYMPTOM_930ec0049d47,Symptom,1106.0,1920,0.0009041591320072332,0,0,0
COMPOUND_bb49611aa259,SYMPTOM_c5dde07b9b1c,Symptom,815.0,1920,0.001226993865030675,0,0,0
COMPOUND_bb49611aa259,SYMPTOM_f8703b74a201,Symptom,74.0,1920,0.013513513513513514,0,0,0
COMPOUND_bb49611aa259,SYMPTOM_48a27e7d9648,Symptom,938.0,1920,0.0010660980810234541,0,0,0
COMPOUND_bb49611aa259,DISEASE_b2a66b919818,Disease,8.0,59,0.125,0,0,1
COMPOUND_4d540add8c51,SYMPTOM_947c70271d24,Symptom,17.0,1924,0.058823529411764705,0,0,0
COMPOUND_4d540add8c51,DISEASE_b2a66b919818,Disease,9.0,59,0.1111111111111111,0,0,1
COMPOUND_b5928def5962,DISEASE_5e294e090c89,Disease,2.0,59,0.5,0,1,1
COMPOUND_b5928def5962,SYMPTOM_64c8aca0d1b5,Symptom,33.0,1924,0.030303030303030304,0,0,0
COMPOUND_cc2df431b6eb,SYMPTOM_01a89e9be65b,Symptom,1798.0,1924,0.0005561735261401557,0,0,0
COMPOUND_c303e6c3e39b,SYMPTOM_13a284b618f2,Symptom,11.0,1924,0.09090909090909091,0,0,0
COMPOUND_20811ee37b5d,SYMPTOM_c4b059814f9a,Symptom,12.0,1924,0.08333333333333333,0,0,0
COMPOUND_20811ee37b5d,DISEASE_8a7c7e622122,Disease,14.0,59,0.07142857142857142,0,0,0
COMPOUND_b80cf9101aad,SYMPTOM_c4b059814f9a,Symptom,17.0,1920,0.058823529411764705,0,0,0
COMPOUND_b80cf9101aad,SYMPTOM_ff1c0b93c404,Symptom,1001.0,1920,0.000999000999000999,0,0,0
COMPOUND_b80cf9101aad,DISEASE_8a7c7e622122,Disease,22.0,59,0.045454545454545456,0,0,0
COMPOUND_b80cf9101aad,SYMPTOM_e1b169091f81,Symptom,1135.0,1920,0.000881057268722467,0,0,0
COMPOUND_b80cf9101aad,SYMPTOM_c83e15e200bd,Symptom,960.0,1920,0.0010416666666666667,0,0,0
COMPOUND_b80cf9101aad,SYMPTOM_718028e0370d,Symptom,1135.0,1920,0.000881057268722467,0,0,0
COMPOUND_9d26b836a162,SYMPTOM_13a284b618f2,Symptom,10.0,1923,0.1,0,0,1
COMPOUND_9d26b836a162,SYMPTOM_4d26ce2697b7,Symptom,1.0,1923,1.0,1,1,1
COMPOUND_4642bcc1a129,SYMPTOM_a0f62e8c06d6,Symptom,775.0,1921,0.0012903225806451613,0,0,0
COMPOUND_4642bcc1a129,SYMPTOM_a11a12e82ba4,Symptom,958.0,1921,0.0010438413361169101,0,0,0
COMPOUND_4642bcc1a129,DISEASE_071459a0c2fd,Disease,20.0,58,0.05,0,0,0
COMPOUND_4642bcc1a129,SYMPTOM_3faa2dca34a0,Symptom,742.0,1921,0.0013477088948787063,0,0,0
COMPOUND_4642bcc1a129,DISEASE_0ace1f8e701c,Disease,20.0,58,0.05,0,0,0
COMPOUND_4642bcc1a129,SYMPTOM_86587ca982e7,Symptom,920.0,1921,0.0010869565217391304,0,0,0
COMPOUND_6b9395423da1,SYMPTOM_b932617bd529,Symptom,740.0,1924,0.0013513513513513514,0,0,0
COMPOUND_9767e271af6c,DISEASE_feccf9386d2e,Disease,21.0,58,0.047619047619047616,0,0,0
COMPOUND_9767e271af6c,DISEASE_ef3323aa3b9e,Disease,4.0,58,0.25,0,1,1
COMPOUND_02d13acc4b8d,SYMPTOM_8c8e9a9a5f8a,Symptom,58.0,1921,0.017241379310344827,0,0,0
COMPOUND_02d13acc4b8d,SYMPTOM_911238c83a7a,Symptom,1190.0,1921,0.0008403361344537816,0,0,0
COMPOUND_02d13acc4b8d,SYMPTOM_a12879b9590a,Symptom,60.0,1921,0.016666666666666666,0,0,0
COMPOUND_02d13acc4b8d,SYMPTOM_0a61ad588557,Symptom,19.0,1921,0.05263157894736842,0,0,0
