source,target,relation,source_sheet,raw_source,raw_target,fold
COMPOUND_2c62f79ad8da,SYMPTOM_9f370bfc6ac7,TREATS,Compound-Treats relationship,शतधौतघृत,कक्षा,2
COMPOUND_2c62f79ad8da,SYMPTOM_b6818ea6bea5,TREATS,Compound-Treats relationship,शतधौतघृत,गुदपाक,2
COMPOUND_2c62f79ad8da,SYMPTOM_e398892d7620,TREATS,Compound-Treats relationship,शतधौतघृत,दाह,2
COMPOUND_2c62f79ad8da,SYMPTOM_ac4ac57a7b7f,TREATS,Compound-Treats relationship,शतधौतघृत,वातरक्त,2
COMPOUND_558ad70336f8,SYMPTOM_078750ea56f7,TREATS,Compound-Treats relationship,षडंगोदक,ज्वर,4
COMPOUND_1dd467f7f991,SYMPTOM_45bf1f080442,TREATS,Compound-Treats relationship,षट्बिंदू तैल,पक्षाघात,2
COMPOUND_72dbc3a95fef,SYMPTOM_99158dd7f146,TREATS,Compound-Treats relationship,षट्पल घृत,गुल्म,1
COMPOUND_d4cfc4097a8c,DISEASE_d60c11b4f6b2,TREATS,Compound-Treats relationship,व्याधिहरण रस,उपदंश,2
COMPOUND_d4cfc4097a8c,SYMPTOM_a317a04d6ea5,TREATS,Compound-Treats relationship,व्याधिहरण रस,फिरंग,2
COMPOUND_8cb47c5aaa27,SYMPTOM_505f79dcc12b,TREATS,Compound-Treats relationship,व्याघ्री हरितकी,वाताजकास,1
COMPOUND_06f3d2b81a9e,SYMPTOM_7212b99acdbd,TREATS,Compound-Treats relationship,वृष्यवटी,क्लैब्य,1
COMPOUND_06f3d2b81a9e,SYMPTOM_fad12d24d6fa,TREATS,Compound-Treats relationship,वृष्यवटी,व्यवायशोष,1
COMPOUND_02f3fd2897ea,SYMPTOM_240d81476af3,TREATS,Compound-Treats relationship,वृद्धदारूक योग,श्लीपद,4
COMPOUND_9d26b836a162,SYMPTOM_13a284b618f2,TREATS,Compound-Treats relationship,वृद्ध गंगाधर चूर्ण,अतिसार,0
COMPOUND_9d26b836a162,SYMPTOM_4d26ce2697b7,TREATS,Compound-Treats relationship,वृद्ध गंगाधर चूर्ण,प्रवाहिका,0
COMPOUND_4642bcc1a129,SYMPTOM_a0f62e8c06d6,TREATS,Compound-Treats relationship,व्रणशोधन तैल,अरुंषिका,0
COMPOUND_4642bcc1a129,SYMPTOM_a11a12e82ba4,TREATS,Compound-Treats relationship,व्रणशोधन तैल,इंद्रलुप्त,0
